mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
1,48,2,6.6042199043871055e-06,3.7366183670399094e-06,3.71219e-07
2,21,1,4.03568402132885e-06,4.03568402132885e-06,3.74137e-07
2,43,2,1.0919528146467544e-05,8.268686647485742e-06,6.28268e-07
2,49,1,4.952362143240334e-06,4.952362143240334e-06,4.45316e-07
3,6,3,1.2432099333868817e-05,5.925914097622408e-06,5.07267e-07
3,28,2,8.684538458568857e-06,5.177730126830579e-06,4.62132e-07
4,14,1,6.16164199754619e-06,6.16164199754619e-06,5.107e-07
4,26,1,6.249722699683243e-06,6.249722699683243e-06,5.25691e-07
5,73,2,4.43957462351747e-06,3.5408033362852844e-06,3.48636e-07
5,83,4,2.1927815869201722e-05,8.006921132760644e-06,6.20975e-07
6,20,1,3.1426263003152317e-06,3.1426263003152317e-06,3.28592e-07
6,23,2,1.3382419234526385e-05,7.327909588723103e-06,5.85803e-07
6,30,2,1.113637819990417e-05,6.4781862454007915e-06,5.26964e-07
6,73,3,1.8908012203216355e-05,8.930362815255603e-06,6.59936e-07
7,19,3,5.087177483780175e-06,3.2316284246839087e-06,3.37243e-07
7,75,1,4.1543207773556677e-07,4.1543207773556677e-07,7.54095e-08
7,89,2,4.931404268848004e-06,2.6436390197946844e-06,2.93478e-07
8,25,2,8.949528490188046e-06,4.5023538686608e-06,4.14648e-07
8,26,4,1.6795657906657932e-05,8.074131231216148e-06,6.12256e-07
8,30,3,1.452359358325785e-05,6.705550832742974e-06,5.47059e-07
8,45,4,2.941341500037693e-05,9.162152347401782e-06,6.77325e-07
9,34,2,2.0458440826495625e-06,1.2627706439951794e-06,1.80054e-07
9,69,1,1.143453276839067e-07,1.143453276839067e-07,3.39137e-08
9,80,2,2.1961126681255542e-06,1.6690080282075488e-06,2.18139e-07
10,39,1,2.0511067747340705e-06,2.0511067747340705e-06,2.43509e-07
11,38,1,7.932836605678954e-06,7.932836605678954e-06,6.00505e-07
11,61,1,3.488251322705404e-06,3.488251322705404e-06,3.4231e-07
12,41,4,1.0394104422005083e-05,4.418653955618158e-06,4.1143e-07
12,60,1,9.401933244625808e-06,9.401933244625808e-06,6.91774e-07
12,73,3,3.956759991368238e-06,2.731127412691689e-06,3.02894e-07
13,26,2,9.82115146361918e-06,6.65776605009398e-06,5.49223e-07
13,27,1,6.614653009939372e-06,6.614653009939372e-06,5.46167e-07
13,42,2,2.6525307907684204e-05,1.666488751852229e-05,1.00317e-06
13,68,2,2.0297945595550658e-05,1.1575083760000356e-05,7.93354e-07
14,24,2,4.56534618413869e-06,3.283216188967763e-06,3.38681e-07
14,60,2,8.861560007928717e-06,5.6816144986910195e-06,4.90771e-07
14,65,1,7.105858716446592e-07,7.105858716446592e-07,1.14791e-07
15,88,2,7.223556289930485e-06,5.152870828368299e-06,4.60332e-07
16,21,1,1.3871453208993642e-06,1.3871453208993642e-06,1.85707e-07
16,55,1,1.8737868535615252e-07,1.8737868535615252e-07,4.92264e-08
17,42,2,4.592795259233145e-06,3.395695677658998e-06,3.4956e-07
17,65,3,4.3049859424533315e-06,2.332805807574218e-06,2.70848e-07
18,22,3,1.0205948155446187e-05,4.270102930989954e-06,4.03709e-07
18,52,1,2.0992419068751938e-06,2.0992419068751938e-06,2.53589e-07
19,20,1,2.128249648464202e-06,2.128249648464202e-06,2.48734e-07
20,35,1,8.318852386731958e-06,8.318852386731958e-06,6.36507e-07
21,38,1,2.465309062352224e-06,2.465309062352224e-06,2.81238e-07
22,32,2,7.32401766447847e-06,4.7749814186025896e-06,4.37817e-07
22,36,2,1.13084168417905e-05,5.764710579820985e-06,4.96422e-07
22,54,1,1.072561350783488e-06,1.072561350783488e-06,1.51105e-07
22,85,2,2.146164126840546e-06,2.098439885630513e-06,2.47129e-07
23,56,1,7.28689179776261e-07,7.28689179776261e-07,1.18097e-07
23,66,2,4.2177250091738246e-06,3.076489793973645e-06,3.26922e-07
23,89,2,1.023715680166252e-05,6.423333775065717e-06,5.35988e-07
24,71,1,1.6873640480254997e-06,1.6873640480254997e-06,2.18766e-07
24,77,2,1.6096976784192118e-05,1.3538868629395688e-05,8.57e-07
25,51,2,1.8347364256390072e-06,1.5789795916873022e-06,1.95458e-07
25,64,1,4.41592479488725e-07,4.41592479488725e-07,8.55404e-08
25,82,3,2.795887419679633e-06,2.3719547730142328e-06,2.67847e-07
26,91,2,7.011167016121901e-06,5.315584756891757e-06,4.67774e-07
27,34,2,7.869439709815254e-06,4.44142160296678e-06,4.15335e-07
28,45,2,3.1636987152998446e-06,2.9920588346442987e-06,2.99608e-07
28,56,2,3.7022574028795962e-06,2.5743703468863997e-06,2.89219e-07
28,94,2,2.3413807051093036e-06,1.3766420761890142e-06,1.89737e-07
29,32,1,7.822387122649965e-06,7.822387122649965e-06,5.79297e-07
29,52,1,4.6403092590137787e-07,4.6403092590137787e-07,8.64888e-08
29,65,2,1.533192093221896e-06,8.186429882738873e-07,1.31902e-07
30,41,3,7.484372134335357e-06,3.4228167336422336e-06,3.51591e-07
30,67,2,1.2260611569962076e-05,6.936065829157044e-06,5.63893e-07
31,53,4,1.8992563992499635e-05,9.452283981371063e-06,6.87617e-07
32,69,4,4.5923584295708444e-06,1.4588145087600548e-06,1.97596e-07
32,87,1,3.028228027890238e-06,3.028228027890238e-06,3.07858e-07
33,49,2,2.1285894652916644e-06,1.2820328070540941e-06,1.70554e-07
33,50,2,3.446300058771638e-06,1.8749490793322894e-06,2.36211e-07
33,59,2,2.105686189231728e-06,1.2239838982723589e-06,1.76406e-07
33,73,3,8.744130170296301e-06,4.959041970552376e-06,4.45439e-07
34,69,3,3.7831801087518255e-06,2.342962843043916e-06,2.73092e-07
34,84,1,2.2166511910311915e-06,2.2166511910311915e-06,2.59261e-07
35,66,1,8.270954196924077e-10,8.270954196924077e-10,5.63387e-09
35,75,1,8.929144408925695e-06,8.929144408925695e-06,6.13801e-07
36,54,2,5.510167829267541e-06,3.2284432874027695e-06,3.35002e-07
37,39,1,2.5109900029241457e-06,2.5109900029241457e-06,2.81023e-07
38,53,3,1.4659348137752343e-05,8.15911671739466e-06,6.18919e-07
38,62,1,5.182843501599292e-06,5.182843501599292e-06,4.59902e-07
