mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
2,43,2,0.038395407130511226,0.03826743223167188,7.93334e-07
5,83,2,0.005936345921866724,0.003637782625861804,1.62373e-07
6,23,1,8.98272988253571e-05,8.98272988253571e-05,1.42955e-08
6,30,1,7.849182686910784e-05,7.849182686910784e-05,1.28631e-08
7,19,1,0.0013844232367581418,0.0013844232367581418,8.68121e-08
7,75,1,0.006193443801882842,0.006193443801882842,2.43234e-07
8,30,1,4.2655525906353565e-05,4.2655525906353565e-05,8.3671e-09
11,61,1,0.01715608652010417,0.01715608652010417,4.88409e-07
13,27,1,8.603095670821057e-05,8.603095670821057e-05,1.51516e-08
13,42,1,0.00011312745941998344,0.00011312745941998344,1.53621e-08
14,60,1,1.3042830094381356e-05,1.3042830094381356e-05,3.19125e-09
17,65,1,0.0002804847971261366,0.0002804847971261366,2.9894e-08
20,35,1,0.002279267312354784,0.002279267312354784,1.24944e-07
25,51,1,1.0396259135265385e-05,1.0396259135265385e-05,2.7464e-10
25,64,1,0.00015768164921239251,0.00015768164921239251,2.00622e-08
33,50,1,5.003682595591871e-05,5.003682595591871e-05,9.00426e-09
35,75,1,0.007815185167593792,0.007815185167593792,2.725e-07
40,43,1,0.0031254395137637844,0.0031254395137637844,1.45846e-07
40,83,1,0.0037881911257697915,0.0037881911257697915,1.80015e-07
40,92,1,0.0014855605183889346,0.0014855605183889346,9.0318e-08
42,74,1,9.931963746541818e-05,9.931963746541818e-05,1.45831e-08
43,61,2,0.03962180558278308,0.02097041908915747,5.39242e-07
50,92,2,0.003954513003289603,0.0028350774824265385,1.50576e-07
50,93,1,0.0019964378618732414,0.0019964378618732414,1.10885e-07
56,67,1,2.452242855531238e-05,2.452242855531238e-05,4.76975e-09
61,86,2,0.027889405130296415,0.020363048726391535,5.18776e-07
65,93,1,0.00036167495501304757,0.00036167495501304757,3.30021e-08
66,79,1,0.0011000456476319518,0.0011000456476319518,7.02522e-08
68,72,1,3.241856318287385e-05,3.241856318287385e-05,6.70784e-09
74,93,1,0.0006873072626285859,0.0006873072626285859,5.33086e-08
75,78,3,0.00580639806032994,0.0026656797478722006,1.41152e-07
75,89,2,0.004858584466786008,0.002968948555869569,1.45071e-07
78,79,1,0.0017766185381533086,0.0017766185381533086,1.0465e-07
78,96,1,0.00898952798568095,0.00898952798568095,3.03335e-07
83,96,1,0.008379786117350728,0.008379786117350728,2.93794e-07
86,92,3,0.00849913292131406,0.005965084224174961,2.26256e-07
