mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
2,43,1,0.0376928256824306,0.0376928256824306,6.42835e-07
5,83,2,0.004106336560710621,0.0034182160632539615,1.37324e-07
6,30,1,2.3747425116580533e-05,2.3747425116580533e-05,5.11394e-09
7,75,1,0.0035775331179684414,0.0035775331179684414,1.36347e-07
11,61,1,0.0161693025776932,0.0161693025776932,3.80826e-07
20,35,1,0.004819263413919601,0.004819263413919601,1.71126e-07
24,71,1,1.8656146309048528e-05,1.8656146309048528e-05,3.43372e-09
30,41,1,6.443356918532451e-05,6.443356918532451e-05,8.70244e-09
33,50,1,0.00011053784793482502,0.00011053784793482502,1.29971e-08
35,75,1,0.0013586492339783657,0.0013586492339783657,6.63703e-08
40,43,1,0.004429081889573617,0.004429081889573617,1.58139e-07
40,83,1,0.005350617403496534,0.005350617403496534,1.78703e-07
43,61,2,0.03199722138563877,0.018044709272642772,4.0893e-07
45,47,1,6.821968421115711e-06,6.821968421115711e-06,8.67907e-10
49,62,1,8.245899960888987e-05,8.245899960888987e-05,1.26278e-08
50,92,2,0.005491282637557673,0.0032119197049909095,1.24702e-07
50,93,1,0.0021633866369331674,0.0021633866369331674,9.44967e-08
61,86,2,0.024142911430420397,0.017495292021015255,3.90229e-07
74,93,1,0.0010106191419788169,0.0010106191419788169,5.75351e-08
75,78,3,0.008010423322268105,0.004911883943643722,1.7034e-07
75,89,1,0.0017674220619221092,0.0017674220619221092,8.07988e-08
78,96,2,0.008164258617164277,0.0058882591808679385,1.91795e-07
83,96,1,0.007961811339523438,0.007961811339523438,2.256e-07
86,92,2,0.00788808480823789,0.006163944667743214,1.9167e-07
87,93,1,0.0004471690588066218,0.0004471690588066218,3.19422e-08
