mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
2,43,1,0.03925263487945236,0.03925263487945236,6.77956e-07
5,83,2,0.006715339547864132,0.006531381873695643,2.06964e-07
6,30,1,2.374165638051608e-05,2.374165638051608e-05,5.11332e-09
7,75,1,0.0012633782837475876,0.0012633782837475876,6.4783e-08
7,89,1,0.0006203632186662907,0.0006203632186662907,4.18922e-08
11,61,1,0.016361229725668544,0.016361229725668544,3.82002e-07
20,35,1,0.008133761746445737,0.008133761746445737,2.46698e-07
24,71,1,1.8665236108922515e-05,1.8665236108922515e-05,3.43539e-09
30,41,1,6.441206596414992e-05,6.441206596414992e-05,8.70119e-09
33,50,1,0.00017102905992564537,0.00017102905992564537,1.77332e-08
35,75,1,0.006905800242291838,0.006905800242291838,2.0615e-07
40,43,1,0.006618983676620528,0.006618983676620528,2.00225e-07
40,49,1,0.00020703219853264373,0.00020703219853264373,2.06188e-08
40,83,1,0.007291842042380032,0.007291842042380032,2.23111e-07
40,92,1,0.0012008667371307276,0.0012008667371307276,6.53678e-08
43,61,2,0.04422698110981896,0.02310188715214625,4.66966e-07
45,47,1,6.810904190678357e-06,6.810904190678357e-06,8.66838e-10
49,62,1,0.0006929765125805348,0.0006929765125805348,4.53431e-08
50,92,2,0.0023863132580903322,0.002055485911960965,9.86711e-08
50,93,1,0.0016162121263440762,0.0016162121263440762,8.00798e-08
56,63,1,8.014793532331323e-05,8.014793532331323e-05,9.53187e-09
58,67,1,0.00017787749538435155,0.00017787749538435155,1.76844e-08
61,86,2,0.03990266744307333,0.029637271566230586,5.49804e-07
64,88,1,2.6095062357051384e-05,2.6095062357051384e-05,5.6192e-09
66,79,1,0.00343176301161677,0.00343176301161677,1.29562e-07
74,93,1,2.8017760881983416e-05,2.8017760881983416e-05,2.76616e-09
75,78,3,0.009291700878831534,0.004883714160134682,1.67318e-07
75,89,2,0.0017366575482991567,0.0012511815182286701,6.54298e-08
78,79,1,0.0034555056426174447,0.0034555056426174447,1.33967e-07
78,96,1,0.006328456714748154,0.006328456714748154,1.95193e-07
83,96,1,0.008547807808393038,0.008547807808393038,2.47979e-07
86,92,3,0.0060666295376643874,0.002804099277572747,1.16651e-07
