mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
2,43,1,0.026878307615735408,0.026878307615735408,5.28117e-07
5,83,2,0.002567668141790616,0.0015139264339788772,7.29183e-08
7,19,1,0.00020955925010643172,0.00020955925010643172,1.76262e-08
7,75,1,0.002166320506904738,0.002166320506904738,9.93225e-08
11,61,1,0.012142132606441093,0.012142132606441093,3.1894e-07
17,65,1,1.0834399660142688e-05,1.0834399660142688e-05,2.97435e-09
20,35,1,0.004751368552466647,0.004751368552466647,1.67655e-07
35,75,1,0.003626385672443156,0.003626385672443156,1.37539e-07
40,83,1,0.001807460095931581,0.001807460095931581,8.37154e-08
40,92,1,0.0007628092947762239,0.0007628092947762239,4.83161e-08
42,74,1,0.0001905867076908828,0.0001905867076908828,1.78781e-08
43,61,2,0.028330417943561274,0.016809197406330856,3.80313e-07
48,60,1,0.00032037787540479444,0.00032037787540479444,2.73865e-08
49,62,1,1.2434285250898179e-05,1.2434285250898179e-05,1.70368e-09
50,92,2,0.0014196379137500054,0.001180720813341579,6.58941e-08
50,93,1,0.003585714093998065,0.003585714093998065,1.4086e-07
61,86,2,0.021129555965393464,0.015823835974393186,3.63479e-07
74,93,1,0.001078246680567114,0.001078246680567114,6.38991e-08
75,78,2,0.0018712895025698078,0.001322745714623941,6.98946e-08
75,89,2,0.0032712881988125617,0.0022271598238662624,9.92612e-08
78,79,1,0.0024409375344862884,0.0024409375344862884,1.02435e-07
78,96,1,0.0007814848713765609,0.0007814848713765609,5.26836e-08
83,96,1,0.005093094753724988,0.005093094753724988,1.74438e-07
86,92,3,0.0019103696812449414,0.0008946367683590699,5.28632e-08
87,93,1,0.0007817270843408203,0.0007817270843408203,4.83148e-08
