mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
2,43,1,0.03133041096898068,0.03133041096898068,5.67678e-07
5,83,2,0.009593443892750771,0.008508526259851877,2.41679e-07
7,75,1,0.0004015098679919212,0.0004015098679919212,2.18049e-08
11,61,1,0.010180091467880287,0.010180091467880287,2.7888e-07
20,35,1,0.0032164598742252326,0.0032164598742252326,1.3027e-07
25,51,1,0.000805461916542303,0.000805461916542303,4.7688e-08
35,75,1,0.0028592129032080156,0.0028592129032080156,1.16335e-07
40,49,1,0.0011069875720038595,0.0011069875720038595,5.87039e-08
40,83,1,0.0037129661738292204,0.0037129661738292204,1.39228e-07
40,92,1,0.0010432759093552387,0.0010432759093552387,5.37196e-08
43,61,2,0.043003609648562834,0.028791459912586928,5.61734e-07
48,49,1,0.0009441479193332791,0.0009441479193332791,5.39907e-08
48,60,1,3.4041858653869064e-05,3.4041858653869064e-05,5.55778e-09
50,92,1,0.0007037945126249564,0.0007037945126249564,4.28815e-08
56,63,1,0.001183155012686419,0.001183155012686419,6.67924e-08
56,79,1,0.0008348854329720935,0.0008348854329720935,4.90511e-08
61,86,2,0.04422280307632132,0.028674502758778572,5.45149e-07
74,93,1,0.0014453318560195786,0.0014453318560195786,7.18223e-08
75,78,3,0.013404347002108529,0.005091270061938535,1.69676e-07
75,89,2,0.0029003376435783636,0.001989464242775047,8.91871e-08
78,79,1,0.0023023382356814996,0.0023023382356814996,1.00747e-07
78,96,1,0.010769963092345958,0.010769963092345958,2.81168e-07
83,96,1,0.008834654223759977,0.008834654223759977,2.44896e-07
86,92,3,0.009534011618953947,0.004098727798402817,1.52194e-07
87,93,1,0.0009948970612964389,0.0009948970612964389,5.59954e-08
