mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
2,43,1,0.05497218111934072,0.05497218111934072,8.4515e-07
2,49,1,0.003410987062845592,0.003410987062845592,1.32196e-07
3,28,1,0.0003244760938375031,0.0003244760938375031,2.62661e-08
5,73,1,0.001428763542282977,0.001428763542282977,7.46734e-08
5,83,2,0.0046850485117298085,0.004444133391628226,1.54028e-07
6,30,2,0.0006326231930268154,0.0003439858527570574,2.82535e-08
6,73,2,0.0015185054013178861,0.0008938965573748229,5.27462e-08
7,19,1,1.9793485471447417e-05,1.9793485471447417e-05,3.58147e-09
8,26,2,0.0023879186446188285,0.0013311243573381865,7.00565e-08
8,30,1,0.0011111546442201462,0.0011111546442201462,6.26185e-08
9,69,1,7.472342568452011e-05,7.472342568452011e-05,1.07605e-08
11,61,1,0.01613500023613263,0.01613500023613263,3.84406e-07
12,41,1,0.0003085433537893986,0.0003085433537893986,2.58535e-08
13,26,1,0.0005904527860379355,0.0005904527860379355,4.08062e-08
13,27,1,0.0012229870680632727,0.0012229870680632727,6.85605e-08
13,42,1,0.001033308067755691,0.001033308067755691,5.67018e-08
14,24,3,0.0005351242357808635,0.0002679893592271902,2.45401e-08
15,88,1,3.3306205661053618e-06,3.3306205661053618e-06,2.70823e-09
20,35,1,0.0036845615724844386,0.0036845615724844386,1.32515e-07
24,71,1,0.0003170312501473615,0.0003170312501473615,2.74025e-08
25,64,1,0.0008320671805431337,0.0008320671805431337,4.98221e-08
30,41,1,0.0004236762849086552,0.0004236762849086552,3.35934e-08
31,53,1,0.0006522774437614718,0.0006522774437614718,4.25306e-08
32,69,1,0.00020882067074523536,0.00020882067074523536,1.99937e-08
33,50,1,6.315153533825128e-06,6.315153533825128e-06,2.80984e-09
33,73,1,0.0011601269321136545,0.0011601269321136545,6.92422e-08
35,75,1,0.00831946375184056,0.00831946375184056,2.37152e-07
36,54,1,1.166479309204411e-05,1.166479309204411e-05,5.36231e-09
38,53,1,3.687382421461056e-05,3.687382421461056e-05,9.28096e-09
40,49,1,0.00021393873371047142,0.00021393873371047142,1.85397e-08
40,83,1,0.002504658270422057,0.002504658270422057,1.02383e-07
42,74,2,0.0016370918146951495,0.0008492381528434766,5.16906e-08
43,61,2,0.05663745823934341,0.0301085999608102,5.64259e-07
44,49,1,7.3150964778668504e-06,7.3150964778668504e-06,1.33291e-09
46,53,1,0.0008901621867826334,0.0008901621867826334,5.33269e-08
48,50,1,0.0005023553243530021,0.0005023553243530021,3.40551e-08
48,53,1,0.0010628106565480043,0.0010628106565480043,5.87224e-08
50,92,2,0.005638555829975999,0.003046428726929452,1.15546e-07
50,93,1,0.0010187775483985696,0.0010187775483985696,5.87699e-08
51,56,1,2.565667682066454e-05,2.565667682066454e-05,1.33801e-09
56,67,1,0.0008307291763453419,0.0008307291763453419,5.1284e-08
58,60,1,0.00019658770232466223,0.00019658770232466223,1.8585e-08
61,86,2,0.04826502704722408,0.03403417885172639,6.25642e-07
64,88,1,0.00033277743081310365,0.00033277743081310365,2.48511e-08
74,82,1,0.00020038035168009862,0.00020038035168009862,2.02169e-08
74,93,2,0.0013540606936116124,0.0011453979317857178,6.42531e-08
75,78,2,0.005291837194216668,0.0034158091113298474,1.33758e-07
75,89,2,0.011133498810616795,0.007818435149478444,2.29553e-07
78,96,1,0.004383514231873897,0.004383514231873897,1.60383e-07
83,96,1,0.010026863459636817,0.010026863459636817,2.67248e-07
86,92,2,0.010643820671123473,0.010163105040242378,2.7186e-07
87,93,2,0.0015359380173631376,0.0014362160436316674,7.33152e-08
