case_label,case_id,event_index,event_timestep,event_displacement_um,pebble_id,rank_from_top,new_broken_bonds,cumulative_broken_bonds,event_top_force_N,previous_native_timestep,next_native_timestep,previous_inter_mother_edges,next_inter_mother_edges,delta_inter_mother_edges,previous_top_reachable_mothers,next_top_reachable_mothers,delta_top_reachable_mothers,previous_inter_pebble_force_sum_N,next_inter_pebble_force_sum_N,force_sum_ratio_next_to_previous,spanning_graph_before,spanning_graph_after,mechanism_note
Pilot,PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot,1,60000,25.0,78,2,2,2,0.059380426,30000,60000,55,67,12,48,58,10,0.5418367105061715,0.3893863486391413,0.7186415041450134,1,1,localized bond loss embedded in a spanning native force graph
Pilot,PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot,2,80000,35.0,78,2,2,4,0.11968985,60000,90000,67,79,12,58,65,7,0.3893863486391413,1.042822003188048,2.6781164949222953,1,1,localized bond loss embedded in a spanning native force graph
Pilot,PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot,3,130000,60.0,78,2,1,5,0.15779377,120000,130001,67,74,7,56,57,1,0.6745991323173595,0.8636818383292806,1.2802889849003967,1,1,localized bond loss embedded in a spanning native force graph
Delayed,PB-007-bonded-steprelaxed-100-seed03-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed03,1,70000,59.0,70,2,5,5,0.21878197,60000,70001,89,63,-26,71,54,-17,2.6712673826054334,1.0320753598831005,0.38636168232491236,1,1,localized bond loss embedded in a spanning native force graph
Delayed,PB-007-bonded-steprelaxed-100-seed03-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed03,2,70000,59.0,97,3,5,5,0.21878197,60000,70001,89,63,-26,71,54,-17,2.6712673826054334,1.0320753598831005,0.38636168232491236,1,1,localized bond loss embedded in a spanning native force graph
Early,PB-007-bonded-steprelaxed-100-seed04-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed04,1,30000,19.0,79,1,4,4,0.0,30000,30000,51,51,0,0,0,0,0.7976404948456381,0.7976404948456381,1.0,0,0,localized bond loss embedded in a spanning native force graph
Early,PB-007-bonded-steprelaxed-100-seed04-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed04,2,40000,29.0,79,1,1,5,0.10244716,30000,60000,51,85,34,0,68,68,0.7976404948456381,1.6088754838478856,2.0170433851396177,0,1,localized bond loss embedded in a spanning native force graph
Early,PB-007-bonded-steprelaxed-100-seed04-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed04,3,60000,49.0,51,55,4,4,0.3344475,30000,60000,51,85,34,0,68,68,0.7976404948456381,1.6088754838478856,2.0170433851396177,0,1,localized bond loss embedded in a spanning native force graph
Early,PB-007-bonded-steprelaxed-100-seed04-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed04,4,70000,59.0,51,55,1,5,0.087155013,60000,70001,85,57,-28,68,46,-22,1.6088754838478856,0.5754712409648477,0.35768538133760064,1,1,localized bond loss embedded in a spanning native force graph
Synchronous,PB-007-bonded-steprelaxed-100-seed06-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed06,1,50000,39.0,52,23,5,5,0.10928803,30000,60000,76,76,0,65,64,-1,0.567826545813004,0.2078738892608508,0.3660869517173077,1,1,localized bond loss embedded in a spanning native force graph
Synchronous,PB-007-bonded-steprelaxed-100-seed06-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed06,2,50000,39.0,84,2,5,5,0.10928803,30000,60000,76,76,0,65,64,-1,0.567826545813004,0.2078738892608508,0.3660869517173077,1,1,localized bond loss embedded in a spanning native force graph
