case_label,geometry_class,strength_multiplier,case_id,case_status,manuscript_role,final_displacement_um,final_top_force_N,final_kinetic_energy_J,initial_intact_bonds,minimum_intact_bonds,broken_bonds_at_endpoint,no_bond_loss_over_run,last_valid_bond_step,final_inter_mother_edges,final_inter_pebble_subcontacts,final_inter_pebble_force_sum_N,final_top_reachable_mothers,final_bottom_reachable_from_top,final_spanning_force_graph,event_rows,first_event_displacement_um,damaged_mother_pebbles,localized_broken_bonds,peak_top_force_N,first_thermo_break_displacement_um
seed02_nominal,intact_geometry,1.0,PB-007-bonded-steprelaxed-100-seed02-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed02,completed_postprocessed,intact geometry baseline,60.0,0.12814566,6.8710331e-08,493500,493500,0,1,70001,83,118,0.2527022955195097,67,18,1,0,,0,0,0.052697753,
seed02_strength0p5,intact_geometry,0.5,PB-007-bonded-steprelaxed-100-seed02-600ksettle-y1p5e10-10krelax-60um-nohold-strength0p5-trigger-seed02,completed_postprocessed,existing weakened-bond intact control,60.0,0.12814356,6.8713337e-08,493500,493500,0,1,70001,83,118,0.2526280110783732,67,18,1,0,,0,0,0.052698126,
seed02_strength0p25,intact_geometry,0.25,PB-007-bonded-steprelaxed-100-seed02-600ksettle-y1p5e10-10krelax-60um-nohold-strength0p25-trigger-seed02,completed_postprocessed,existing weakened-bond intact control,60.0,0.12814356,6.8713337e-08,493500,493500,0,1,70001,83,118,0.2526280110783732,67,18,1,0,,0,0,0.052698126,
seed04_nominal,early_cracking,1.0,PB-007-bonded-steprelaxed-100-seed04-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed04,completed_postprocessed,nominal early-cracking baseline,60.0,0.25913655,1.4625085e-07,493500,493490,10,0,70001,57,87,0.5754712409648477,46,10,1,4,19.0,2,5,0.33760013,19.0
seed06_nominal,synchronous_cracking,1.0,PB-007-bonded-steprelaxed-100-seed06-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed06,completed_postprocessed,nominal synchronous-cracking baseline,60.0,0.51979486,2.0156649e-07,493500,493490,10,0,70001,88,132,0.9447621714911172,72,12,1,2,39.0,2,5,0.29132371,30.0
seed04_strength0p75,early_cracking,0.75,PB-007-bonded-steprelaxed-100-seed04-600ksettle-y1p5e10-10krelax-60um-nohold-strength0p75-seed04,completed_postprocessed,material-property dependence on an early-cracking geometry,60.0,0.65068282,1.7561738e-07,493500,493490,10,0,70001,68,100,1.3275441519827584,53,12,1,2,19.0,2,5,0.33998017,15.0
seed04_strength0p5,early_cracking,0.5,PB-007-bonded-steprelaxed-100-seed04-600ksettle-y1p5e10-10krelax-60um-nohold-strength0p5-seed04,completed_postprocessed,material-property dependence on an early-cracking geometry,60.0,0.66050274,1.2706139e-07,493500,493490,10,0,70001,76,115,1.1956111326061798,62,13,1,2,19.0,2,5,0.2334851,9.0
seed04_strength0p25,early_cracking,0.25,PB-007-bonded-steprelaxed-100-seed04-600ksettle-y1p5e10-10krelax-60um-nohold-strength0p25-seed04,completed_postprocessed,material-property dependence on an early-cracking geometry,60.0,0.49781543,8.4830813e-08,493500,493485,15,0,70001,68,97,0.8708695396361767,56,13,1,3,19.0,2,5,0.16683102,5.0
seed06_strength0p75,synchronous_cracking,0.75,PB-007-bonded-steprelaxed-100-seed06-600ksettle-y1p5e10-10krelax-60um-nohold-strength0p75-seed06,completed_postprocessed,material-property dependence on a synchronous-cracking geometry,60.0,0.44586144,3.9902184e-07,493500,493490,10,0,70001,91,139,1.1797217011143295,79,14,1,3,29.0,2,5,0.25539362,27.0
seed06_strength0p5,synchronous_cracking,0.5,PB-007-bonded-steprelaxed-100-seed06-600ksettle-y1p5e10-10krelax-60um-nohold-strength0p5-seed06,completed_postprocessed,material-property dependence on a synchronous-cracking geometry,60.0,0.50559177,2.3594094e-07,493500,493490,10,0,70001,91,137,0.8530619257881701,73,14,1,3,19.0,2,5,0.22583559,19.0
seed06_strength0p25,synchronous_cracking,0.25,PB-007-bonded-steprelaxed-100-seed06-600ksettle-y1p5e10-10krelax-60um-nohold-strength0p25-seed06,completed_postprocessed,material-property dependence on a synchronous-cracking geometry,60.0,0.484184,1.388096e-07,493500,493485,15,0,70001,85,115,0.7472596833685103,76,10,1,3,19.0,3,5,0.16569605,15.0
