mother_i,mother_j,subcontacts,max_overlap_m,sum_overlap_m
1,48,2,3.781164354611555e-07,6.561791073156099e-07
2,21,1,3.960240558384989e-07,3.960240558384989e-07
2,43,2,5.682762817417188e-07,7.929930274653397e-07
2,49,1,4.7276098242958215e-07,4.7276098242958215e-07
3,6,3,5.209850686345609e-07,1.1980954875504002e-06
3,28,2,4.495004630264437e-07,7.744937873302416e-07
4,14,1,5.410138351987951e-07,5.410138351987951e-07
4,26,1,5.778217939654833e-07,5.778217939654833e-07
5,73,2,3.6446201234022213e-07,4.961839763858869e-07
5,83,4,6.101157381624038e-07,1.8546100718279347e-06
6,20,1,3.444012645419071e-07,3.444012645419071e-07
6,23,2,5.596558878057702e-07,1.064001047105506e-06
6,30,2,5.174011729085681e-07,9.308604727252512e-07
6,73,3,7.25768055458674e-07,1.637549145319073e-06
7,19,3,3.4694169643034744e-07,5.699568465483115e-07
7,89,2,3.1648758067481136e-07,5.496025729897802e-07
8,25,2,4.274346814377774e-07,8.22465642440933e-07
8,26,4,6.302580794104753e-07,1.4772400748146148e-06
8,30,3,5.741805964042709e-07,1.265684570254686e-06
8,45,4,6.785651475130932e-07,2.4402134820851966e-06
9,34,2,1.8932854419581732e-07,3.02567787942339e-07
9,69,1,3.1169844155856706e-08,3.1169844155856706e-08
9,80,2,2.290715791454707e-07,3.27748315018768e-07
10,39,1,2.7027199103847935e-07,2.7027199103847935e-07
11,38,1,6.715644237784477e-07,6.715644237784477e-07
11,61,1,3.194682333140141e-07,3.194682333140141e-07
12,41,4,4.138277159181829e-07,1.1203894155580572e-06
12,60,1,7.108709145919477e-07,7.108709145919477e-07
12,73,3,2.9473176291666724e-07,4.82078338039736e-07
13,26,2,6.071552402908941e-07,9.830820619865062e-07
13,27,1,5.751532682658365e-07,5.751532682658365e-07
13,42,3,1.0412927229154522e-06,1.875542888025243e-06
13,68,2,7.941517169704411e-07,1.4240791611803017e-06
14,24,2,3.6416310983321504e-07,5.553943967365936e-07
14,60,2,4.817367203147695e-07,7.73019681855769e-07
14,65,1,7.822879013129856e-08,7.822879013129856e-08
15,88,2,4.4809337273603615e-07,6.594411644314784e-07
16,21,1,2.1025360561761203e-07,2.1025360561761203e-07
16,55,1,4.5391671431917755e-08,4.5391671431917755e-08
17,42,2,3.8523346316689353e-07,5.439412689391192e-07
17,65,3,2.7495003010951724e-07,5.192534754066251e-07
18,22,3,4.058376337689264e-07,9.818368342540286e-07
18,52,1,2.6599506905582485e-07,2.6599506905582485e-07
19,20,1,2.8679662107798534e-07,2.8679662107798534e-07
20,35,1,5.991738906709992e-07,5.991738906709992e-07
21,38,1,3.1411455930268814e-07,3.1411455930268814e-07
22,32,2,4.415885732818596e-07,6.798101237273093e-07
22,36,2,5.390175268083088e-07,1.0538398734142424e-06
22,54,1,1.6052660457992782e-07,1.6052660457992782e-07
22,85,2,2.6051331599822875e-07,2.683227613798565e-07
23,56,1,9.082080510707685e-08,9.082080510707685e-08
23,66,2,3.454232437071961e-07,5.145880547011817e-07
23,89,2,5.574398733530214e-07,9.201772644821165e-07
24,71,1,2.0205350792985345e-07,2.0205350792985345e-07
24,77,2,9.036066764463722e-07,1.0183441851959108e-06
25,51,1,1.9969106437266713e-07,1.9969106437266713e-07
25,64,1,1.1058144281641744e-07,1.1058144281641744e-07
25,82,3,2.8558996973565044e-07,3.832664091019453e-07
26,91,2,4.755214819916607e-07,6.450348513111458e-07
27,34,2,4.3763039940679827e-07,7.249207915749882e-07
28,45,1,3.1011772878967753e-07,3.1011772878967753e-07
28,56,2,2.766349399238756e-07,4.1585097241792705e-07
28,94,2,2.121691671378757e-07,3.4003970747251253e-07
29,32,1,6.213320024451007e-07,6.213320024451007e-07
29,52,1,1.0231450489136152e-07,1.0231450489136152e-07
29,65,2,9.466148448631609e-08,1.841126183379512e-07
30,41,3,3.6446342936554625e-07,8.454002584485872e-07
30,67,2,5.752025307994505e-07,1.0688106653646001e-06
31,53,4,7.212041556051634e-07,1.6014660589042654e-06
32,69,4,1.990873123020986e-07,6.844567795577771e-07
32,87,1,3.5202784482644663e-07,3.5202784482644663e-07
33,49,2,1.8136453403600394e-07,3.021287107946518e-07
33,50,2,2.0311333496257427e-07,3.92254959860955e-07
33,59,2,1.679346068930032e-07,2.703288415158351e-07
33,73,3,4.4095654966078515e-07,8.162843931271174e-07
34,69,3,2.7460045772140457e-07,4.792313906603555e-07
34,84,1,2.9692388380330825e-07,2.9692388380330825e-07
35,66,1,3.4345186285337495e-08,3.4345186285337495e-08
35,75,1,4.167858027998413e-07,4.167858027998413e-07
36,54,2,3.1657029250755557e-07,5.988816462412257e-07
37,39,1,2.815750513945024e-07,2.815750513945024e-07
38,53,3,6.811500609744047e-07,1.2473688402457638e-06
38,62,1,4.4400274519946483e-07,4.4400274519946483e-07
38,81,2,3.0180662744805906e-07,4.676100176692524e-07
39,88,3,4.350466417000695e-07,8.906030028338634e-07
40,43,3,2.5888008243163754e-07,4.952929160439333e-07
40,49,1,3.6619662407561253e-07,3.6619662407561253e-07
40,83,2,6.10639971060191e-07,6.449644003351601e-07
40,92,1,5.254147453180174e-07,5.254147453180174e-07
41,74,2,5.078068238480074e-07,8.639606798145296e-07
42,69,2,1.717084544653895e-07,2.7272291182885535e-07
42,74,2,7.98492772013476e-07,1.379948728267498e-06
42,84,1,3.419469750600698e-07,3.419469750600698e-07
42,91,1,1.889994868942824e-07,1.889994868942824e-07
43,61,4,2.8433610094422157e-07,8.701520581553841e-07
44,49,2,4.6733347690523645e-07,8.975387442655773e-07
44,73,2,3.7204494065842916e-07,6.057828510694092e-07
45,47,3,4.291755404378769e-07,1.0211052222955602e-06
46,53,1,4.059135535107737e-07,4.059135535107737e-07
46,77,1,5.092128794506444e-07,5.092128794506444e-07
46,99,1,4.498548252788759e-07,4.498548252788759e-07
47,64,1,5.199424875411358e-07,5.199424875411358e-07
47,88,1,5.117673509035447e-07,5.117673509035447e-07
47,94,2,3.4906389515050227e-07,3.82662425329756e-07
48,49,2,2.0605730427970695e-07,3.7647191612700994e-07
48,50,1,3.377346063721182e-07,3.377346063721182e-07
48,53,2,7.756058022488518e-07,9.522647957420013e-07
48,60,1,7.164921549581018e-07,7.164921549581018e-07
48,62,1,1.6808134846488622e-07,1.6808134846488622e-07
48,98,1,2.4758372899568153e-07,2.4758372899568153e-07
49,62,2,4.715516317938353e-07,7.362870882498212e-07
50,92,2,3.098622048130931e-07,5.042468536745667e-07
50,93,1,4.5360221219322957e-07,4.5360221219322957e-07
51,67,1,3.2902273806405247e-07,3.2902273806405247e-07
51,94,1,2.229504090721471e-07,2.229504090721471e-07
52,80,2,3.249125323302499e-07,6.464751762300493e-07
54,87,1,4.4310226465749895e-07,4.4310226465749895e-07
56,63,4,3.6372274513737544e-07,8.248327342970228e-07
56,67,2,5.266127156206869e-07,6.811102431392185e-07
56,79,1,2.2650843405703006e-07,2.2650843405703006e-07
58,59,1,1.835204616366465e-07,1.835204616366465e-07
58,60,2,5.430834120142457e-07,1.0802454285252505e-06
58,67,1,5.741564994323216e-07,5.741564994323216e-07
58,70,1,2.2857130795855417e-07,2.2857130795855417e-07
59,66,2,1.6221587056605442e-07,2.710843898689379e-07
60,93,2,5.389121085084056e-07,7.942861763320005e-07
61,86,1,1.9447808457204467e-07,1.9447808457204467e-07
63,89,2,2.716774730470334e-07,3.937821346462956e-07
64,76,2,3.860674858412893e-07,6.483867816050465e-07
64,88,1,1.4116795801187587e-07,1.4116795801187587e-07
64,90,2,2.859897203342268e-07,4.298399603746162e-07
64,91,2,3.37787079165034e-07,6.143456570171466e-07
65,93,1,2.0288415794952755e-07,2.0288415794952755e-07
66,67,1,6.453780450650111e-07,6.453780450650111e-07
66,79,1,2.640658465134592e-07,2.640658465134592e-07
66,83,4,5.079204096032836e-07,1.3138962827404822e-06
68,72,3,2.817308182161035e-07,7.928295467654015e-07
68,91,2,5.069346907677892e-07,9.178289676432729e-07
69,100,1,2.2361309540331773e-07,2.2361309540331773e-07
70,82,2,2.721876295044357e-07,4.0836478698853926e-07
71,85,3,2.0438001184002938e-07,4.354072615460119e-07
72,84,1,1.8741571276265187e-07,1.8741571276265187e-07
72,90,3,2.1487599434786902e-07,6.295198138053863e-07
74,82,1,1.6670087465030703e-07,1.6670087465030703e-07
74,93,2,5.419491143479263e-07,8.091390698649568e-07
74,100,1,3.582035346193468e-07,3.582035346193468e-07
75,78,2,2.375830651006952e-07,4.5544264974199656e-07
75,89,1,3.0324045693492206e-07,3.0324045693492206e-07
77,85,1,2.2987985984623675e-07,2.2987985984623675e-07
77,87,1,4.3088519460333463e-07,4.3088519460333463e-07
77,98,2,2.8402511890795665e-07,4.902276321304476e-07
78,79,1,4.011168171813334e-08,4.011168171813334e-08
78,96,1,2.1186442876361096e-07,2.1186442876361096e-07
81,97,1,2.24768012712051e-07,2.24768012712051e-07
82,91,1,3.5395146782190375e-07,3.5395146782190375e-07
83,96,2,4.0092521547921856e-07,5.524001826709001e-07
86,92,2,3.3341483184214744e-07,5.619530599489911e-07
87,93,2,3.9424009578209246e-07,5.500704730175039e-07
87,95,1,1.5419629999164134e-07,1.5419629999164134e-07
92,97,1,2.6135237520055483e-07,2.6135237520055483e-07
93,95,2,2.431186682912487e-07,2.8552887365147176e-07
93,98,1,2.6149219051257923e-07,2.6149219051257923e-07
95,100,1,8.656232082373345e-08,8.656232082373345e-08
97,98,2,3.1860107206705735e-07,4.028589412759481e-07
