case_label,case_id,timestep,state_kind,source_kind,pair_file,inter_parent_edges,inter_parent_subcontacts,inter_parent_force_sum_N,mean_edge_force_N,median_edge_force_N,F95_edge_force_N,F99_edge_force_N,max_edge_force_N,top5_force_share,top1_force_share,top5_edge_count,top1_edge_count
Pilot,PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot,-1,final,native_edges_csv,<project-root>/tables/pb007_PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot_native_edges.csv,74,119,0.8636818383292805,0.011671376193638925,0.0022882487012735493,0.06645062579149741,0.0964939695344154,0.11723337648449335,0.4066476719655447,0.13573676240694305,4,1
Intact,PB-007-bonded-steprelaxed-100-seed02-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed02,70001,final,native_edges_csv,<project-root>/tables/pb007_PB-007-bonded-steprelaxed-100-seed02-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed02_native_edges.csv,83,118,0.2527022955195097,0.0030446059701145743,0.0010043354392303401,0.011874854755040885,0.023197654228835317,0.025646000536872077,0.3890995838601364,0.10148701057166336,5,1
Delayed,PB-007-bonded-steprelaxed-100-seed03-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed03,70001,final,native_edges_csv,<project-root>/tables/pb007_PB-007-bonded-steprelaxed-100-seed03-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed03_native_edges.csv,63,97,1.0320753598831005,0.016382148569573023,0.004174722966985474,0.06855516697380205,0.11751597982118138,0.1297133869689578,0.38694550644172304,0.12568208874170775,4,1
Early,PB-007-bonded-steprelaxed-100-seed04-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed04,70001,final,native_edges_csv,<project-root>/tables/pb007_PB-007-bonded-steprelaxed-100-seed04-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed04_native_edges.csv,57,87,0.5754712409648477,0.01009598668359382,0.0027186643693578863,0.03898277878789911,0.04312230208847391,0.043193373428026864,0.21966389616532067,0.07505739705707605,3,1
Synchronous,PB-007-bonded-steprelaxed-100-seed06-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed06,70001,final,native_edges_csv,<project-root>/tables/pb007_PB-007-bonded-steprelaxed-100-seed06-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed06_native_edges.csv,88,132,0.9447621714911172,0.010735933766944513,0.004481897099436574,0.03817241431823022,0.05388656184514819,0.057901208407756755,0.2484243935074066,0.06128654401601552,5,1
Intact 0.5x,PB-007-bonded-steprelaxed-100-seed02-600ksettle-y1p5e10-10krelax-60um-nohold-strength0p5-trigger-seed02,70001,final,native_edges_csv,<project-root>/tables/pb007_PB-007-bonded-steprelaxed-100-seed02-600ksettle-y1p5e10-10krelax-60um-nohold-strength0p5-trigger-seed02_native_edges.csv,83,118,0.25262801107837324,0.00304371097684787,0.0010043546857783857,0.011878492714484004,0.023196418308218655,0.02564509653280718,0.38921851396026474,0.10151327409552877,5,1
Intact 0.25x,PB-007-bonded-steprelaxed-100-seed02-600ksettle-y1p5e10-10krelax-60um-nohold-strength0p25-trigger-seed02,70001,final,native_edges_csv,<project-root>/tables/pb007_PB-007-bonded-steprelaxed-100-seed02-600ksettle-y1p5e10-10krelax-60um-nohold-strength0p25-trigger-seed02_native_edges.csv,83,118,0.25262801107837324,0.00304371097684787,0.0010043546857783857,0.011878492714484004,0.023196418308218655,0.02564509653280718,0.38921851396026474,0.10151327409552877,5,1
200-bed,PB-007-bonded-steprelaxed-200-seed09-midbox-fast600ksettle-y1p5e10-10kstage-hold100-60um-fracture-200bed,76001,final,native_edges_csv,<project-root>/tables/pb007_PB-007-bonded-steprelaxed-200-seed09-midbox-fast600ksettle-y1p5e10-10kstage-hold100-60um-fracture-200bed_native_edges.csv,53,77,0.11312783466331273,0.002134487446477599,0.00010790006041124538,0.012071804385303432,0.020372631013095024,0.02276186187443128,0.47331665188759375,0.2012047869754987,3,1
200-bed 0.25x,PB-007-bonded-steprelaxed-200-seed09-midbox-fast600ksettle-60um-strength0p25-200bed,20000,event,pair_local_dump,<project-root>/simulations/pebble_bed/PB-007/cases/PB-007-bonded-steprelaxed-200-seed09-midbox-fast600ksettle-60um-strength0p25-200bed/post/pairs_event_20000.local,26,35,0.09525959036735918,0.0036638303987445837,0.0002637291553069406,0.018745810236924194,0.024233108679626053,0.025331189350758877,0.485725960384152,0.26591747091365453,2,1
200-bed 0.25x,PB-007-bonded-steprelaxed-200-seed09-midbox-fast600ksettle-60um-strength0p25-200bed,40000,event,pair_local_dump,<project-root>/simulations/pebble_bed/PB-007/cases/PB-007-bonded-steprelaxed-200-seed09-midbox-fast600ksettle-60um-strength0p25-200bed/post/pairs_event_40000.local,27,38,0.10603400816657141,0.003927185487650793,0.00017307543136092424,0.014478846224251288,0.021545035728897818,0.02372905995878179,0.36835377065389235,0.22378725815499903,2,1
