case_id,mother_diameter_mm,subparticles,initial_bonds,top_speed_m_s,sigma_tau_MPa,kn_N_m3,kt_N_m3,estimated_initial_stiffness_N_per_mm,peak_top_force_N,peak_bottom_force_N,first_break_displacement_mm,final_broken_bonds,final_fragment_count,largest_fragment_particles,second_fragment_particles,single_particle_fragments,calibration_status,notes,thermo_csv
SP-002-strength-25MPa,1.0,500,6723,1.0,25.0,100000000000000.0,50000000000000.0,,3.9900986,1.7828955,0.10500000000000001,242.0,,,,,model_side_metric_only,fast strength-screening case,data/processed/SP-002-strength-25MPa_thermo.csv
SP-002-strength-50MPa,1.0,500,6723,1.0,50.0,100000000000000.0,50000000000000.0,,6.6665597,5.4772435,0.10500000000000001,193.0,,,,,model_side_metric_only,fast strength-screening case,data/processed/SP-002-strength-50MPa_thermo.csv
SP-002-strength-100MPa,1.0,500,6723,1.0,100.0,100000000000000.0,50000000000000.0,,16.473327,11.127082,0.11,123.0,,,,,model_side_metric_only,fast strength-screening case,data/processed/SP-002-strength-100MPa_thermo.csv
SP-002-speed-0p1ms-50MPa-bonds,1.0,500,6723,0.1,50.0,100000000000000.0,50000000000000.0,,6.4455429,6.0572662,0.10900000000000001,106.0,7,494,1,6,model_side_metric_only,current fragment-reference case,data/processed/SP-002-speed-0p1ms-50MPa-bonds_thermo.csv
SP-002-speed-0p25ms-50MPa,1.0,500,6723,0.25,50.0,100000000000000.0,50000000000000.0,,6.9870008,5.8185261,0.10625,105.0,,,,,model_side_metric_only,speed-screening case,data/processed/SP-002-speed-0p25ms-50MPa_thermo.csv
SP-002-speed-0p5ms-50MPa,1.0,500,6723,0.5,50.0,100000000000000.0,50000000000000.0,,7.1879479,5.4395284,0.1075,123.0,,,,,model_side_metric_only,speed-screening case,data/processed/SP-002-speed-0p5ms-50MPa_thermo.csv
SP-002-stiffness-kn5e13,1.0,500,6723,0.1,50.0,50000000000000.0,25000000000000.0,452.1238411446624,4.9127721,4.5402991,0.1065,53.0,,,,,model_side_metric_only,stiffness-screening case,data/processed/SP-002-stiffness-kn5e13_thermo.csv
SP-002-stiffness-kn1e14,1.0,500,6723,0.1,50.0,100000000000000.0,50000000000000.0,569.7854462879917,4.5266118,4.0173092,0.10900000000000001,53.0,,,,,model_side_metric_only,stiffness-screening case,data/processed/SP-002-stiffness-kn1e14_thermo.csv
SP-002-calib-kn1e14-120MPa-0p1ms,1.0,500,6723,0.1,120.0,100000000000000.0,50000000000000.0,569.7854462879917,18.450117,17.900636,0.1155,106.0,7,494,1,6,model_side_metric_only,first load-calibrated candidate; peak force in target window but fragment mode is surface chipping,data/processed/SP-002-calib-kn1e14-120MPa-0p1ms_thermo.csv
SP-002-calib-kn1e14-sig120-tau60-0p1ms,1.0,500,6723,0.1,120.0,100000000000000.0,50000000000000.0,569.7854462879917,13.739533,13.306664,0.1145,103.0,7,494,1,6,model_side_metric_only,tau/sigma=0.5 diagnostic; peak force too low and still surface chipping,data/processed/SP-002-calib-kn1e14-sig120-tau60-0p1ms_thermo.csv
SP-002-calib-kn1e14-sig120-tau240-0p1ms,1.0,500,6723,0.1,120.0,100000000000000.0,50000000000000.0,569.7854462879917,17.956264,17.351172,0.1155,106.0,7,494,1,6,model_side_metric_only,tau/sigma=2.0 diagnostic; peak force near target but still surface chipping,data/processed/SP-002-calib-kn1e14-sig120-tau240-0p1ms_thermo.csv
SP-002-weakplane-bulk120-weak60-cd110-0p1ms-0p3mm,1.0,500,6723,0.1,120.0,100000000000000.0,50000000000000.0,512.7377177163357,31.091806,30.674746,0.1055,820.0,53,227,222,51,model_side_metric_only,weak-plane diagnostic; major split achieved but peak force too high,data/processed/SP-002-weakplane-bulk120-weak60-cd110-0p1ms-0p3mm_thermo.csv
SP-002-weakplane-bulk100-weak25-cd90-0p1ms-0p3mm,1.0,500,6723,0.1,100.0,100000000000000.0,50000000000000.0,486.71052457336015,21.778869,21.200327,0.103,656.0,50,230,222,48,model_side_metric_only,weak-plane near-calibrated candidate; load at upper edge and major split achieved,data/processed/SP-002-weakplane-bulk100-weak25-cd90-0p1ms-0p3mm_thermo.csv
SP-002-weakplane-bulk90-weak22p5-cd90-0p1ms-0p3mm,1.0,500,6723,0.1,90.0,100000000000000.0,50000000000000.0,480.42775314478814,18.637057,18.067335,0.1025,703.0,51,227,224,49,candidate_calibrated,SP-002-CAL1 weak-plane candidate; peak load in target window and major split achieved,data/processed/SP-002-weakplane-bulk90-weak22p5-cd90-0p1ms-0p3mm_thermo.csv
SP-002-stiffness-kn2e14,1.0,500,6723,0.1,50.0,200000000000000.0,100000000000000.0,465.36191885900627,1.5553246,1.6759937,0.1005,4727.0,,,,,exclude_numerical_failure,rejected until smaller-timestep verification,data/processed/SP-002-stiffness-kn2e14_thermo.csv
