timestep,intact_bonds,fragment_count,largest_fragment_particles,second_fragment_particles,single_particle_fragments
0,0,500,1,1,500
1000,6723,1,500,0,0
2000,6723,1,500,0,0
3000,6723,1,500,0,0
4000,6723,1,500,0,0
5000,6723,1,500,0,0
6000,6723,1,500,0,0
7000,6723,1,500,0,0
8000,6723,1,500,0,0
9000,6723,1,500,0,0
10000,6723,1,500,0,0
11000,6723,1,500,0,0
12000,6723,1,500,0,0
13000,6723,1,500,0,0
14000,6723,1,500,0,0
15000,6723,1,500,0,0
16000,6723,1,500,0,0
17000,6723,1,500,0,0
18000,6723,1,500,0,0
19000,6723,1,500,0,0
20000,6723,1,500,0,0
21000,6723,1,500,0,0
22000,6723,1,500,0,0
23000,6723,1,500,0,0
24000,6723,1,500,0,0
25000,6723,1,500,0,0
26000,6723,1,500,0,0
27000,6723,1,500,0,0
28000,6723,1,500,0,0
29000,6723,1,500,0,0
30000,6723,1,500,0,0
31000,6723,1,500,0,0
32000,6723,1,500,0,0
33000,6723,1,500,0,0
34000,6723,1,500,0,0
35000,6723,1,500,0,0
36000,6723,1,500,0,0
37000,6723,1,500,0,0
38000,6723,1,500,0,0
39000,6723,1,500,0,0
40000,6723,1,500,0,0
41000,6723,1,500,0,0
42000,6723,1,500,0,0
43000,6723,1,500,0,0
44000,6723,1,500,0,0
45000,6723,1,500,0,0
46000,6723,1,500,0,0
47000,6723,1,500,0,0
48000,6723,1,500,0,0
49000,6723,1,500,0,0
50000,6723,1,500,0,0
51000,6723,1,500,0,0
52000,6723,1,500,0,0
53000,6723,1,500,0,0
54000,6723,1,500,0,0
55000,6723,1,500,0,0
56000,6723,1,500,0,0
57000,6723,1,500,0,0
58000,6723,1,500,0,0
59000,6723,1,500,0,0
60000,6723,1,500,0,0
61000,6723,1,500,0,0
62000,6723,1,500,0,0
63000,6723,1,500,0,0
64000,6723,1,500,0,0
65000,6723,1,500,0,0
66000,6723,1,500,0,0
67000,6723,1,500,0,0
68000,6723,1,500,0,0
